Vitesse,iter,PWM,Moteur état,état machine, flowing state, isFlowing, flowingChrono, stoppedChrono, Courant, etat wattmetre,Kp, capteur, rCapteur, timestamp, dérivée 1, dérivée 2
0.00,142,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,937,0.00,0.00
0.00,143,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,948,0.00,0.00
0.00,144,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,959,0.00,0.00
0.00,145,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,970,0.00,0.00
0.00,146,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,982,0.00,0.00
0.00,147,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,994,0.00,0.00
0.00,148,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1006,0.00,0.00
0.00,149,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1018,0.00,0.00
0.00,150,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1030,0.00,0.00
0.00,151,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1042,0.00,0.00
0.00,152,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1054,0.00,0.00
0.00,153,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1066,0.00,0.00
0.00,154,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1078,0.00,0.00
0.00,155,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1090,0.00,0.00
0.00,156,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1102,0.00,0.00
0.00,157,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1114,0.00,0.00
0.00,158,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1126,0.00,0.00
0.00,159,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1138,0.00,0.00
0.00,160,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1150,0.00,0.00
0.00,161,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1163,0.00,0.00
0.00,162,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1176,0.00,0.00
0.00,163,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1189,0.00,0.00
0.00,164,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1202,0.00,0.00
0.00,165,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1215,0.00,0.00
0.00,166,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1228,0.00,0.00
0.00,167,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1241,0.00,0.00
0.00,168,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1254,0.00,0.00
0.00,169,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1267,0.00,0.00
0.00,170,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1280,0.00,0.00
0.00,171,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1293,0.00,0.00
0.00,172,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1306,0.00,0.00
0.00,173,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1319,0.00,0.00
0.00,174,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1332,0.00,0.00
0.00,175,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1345,0.00,0.00
0.00,176,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1359,0.00,0.00
0.00,177,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1373,0.00,0.00
0.00,178,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1387,0.00,0.00
0.00,179,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1401,0.00,0.00
0.00,180,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1415,0.00,0.00
0.00,181,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,1429,0.00,0.00
